variant_id,is_identity,state_machine,timing,e_low,transaction_cost_bps,total_return,compound_annual_return,annual_vol,contract_sharpe,max_drawdown,calmar_ratio,benchmark_total_return,excess_return_vs_000852,information_ratio,max_drawdown_peak_date,max_drawdown_trough_date,crunch_strategy_return,crunch_000852_return,crunch_excess_return_vs_000852,average_exposure,exposure_lt_1_day_ratio,exposure_switch_count,cumulative_cost_drag_pp,return_period_count,nav_row_count
hysteresis_daily_elow0.7_cost20bps,False,hysteresis,daily,0.7,20.0,0.6331086248665492,0.09871061225156152,0.20359350310488464,0.4848416611836041,-0.36970127356613636,0.26700100678420585,0.25162190457765377,0.3814867202888954,0.23201090489941914,2023-06-16,2024-02-07,-0.2814808012070372,-0.1850421485653686,-0.09643865264166862,0.9009132420091326,0.3302891933028919,33,1.9800000000000002,1313,1314
two_state_biweekly_elow0_cost20bps,False,two_state,biweekly,0.0,20.0,0.7307833161311696,0.11102844819848401,0.20194106586945543,0.5498061908332118,-0.31143708360261557,0.35650362157948084,0.25162190457765377,0.4791614115535159,0.2657641055330411,2023-06-16,2024-09-18,-0.12762146893504334,-0.1850421485653686,0.057420679630325266,0.8873668188736682,0.1126331811263318,24,4.8,1313,1314
two_state_biweekly_elow0.3_cost20bps,False,two_state,biweekly,0.3,20.0,0.7642486934502866,0.11511961525382519,0.2044213308538482,0.5631487417334662,-0.32778535777020723,0.35120426378084096,0.25162190457765377,0.5126267888726328,0.30193500130717005,2023-06-16,2024-09-18,-0.2105271134759681,-0.1850421485653686,-0.025484964910599484,0.9211567732115676,0.1126331811263318,24,3.36,1313,1314
two_state_biweekly_elow0.5_cost20bps,False,two_state,biweekly,0.5,20.0,0.7817749301463923,0.11723724432349636,0.20871732215001218,0.561703471067121,-0.3633780535590464,0.32263160412478276,0.25162190457765377,0.5301530255687386,0.32366471101506605,2023-06-16,2024-02-07,-0.26199185684996795,-0.1850421485653686,-0.07694970828459935,0.943683409436834,0.1126331811263318,24,2.4,1313,1314
two_state_biweekly_elow0.7_cost20bps,False,two_state,biweekly,0.7,20.0,0.7953152390622962,0.11886177354749594,0.21498858863417378,0.5528748028098925,-0.40126425501491414,0.29621819552075,0.25162190457765377,0.5436933344846424,0.3421121710804005,2023-06-16,2024-02-07,-0.3105753984975983,-0.1850421485653686,-0.1255332499322297,0.9662100456621003,0.1126331811263318,24,1.4400000000000002,1313,1314
two_state_daily_elow0_cost20bps,False,two_state,daily,0.0,20.0,0.19149558813365974,0.034199169564066434,0.19932212509628497,0.17157738784666335,-0.4001501841569073,0.08546583487427865,0.25162190457765377,-0.06012631644399402,-0.08957220743998133,2021-11-26,2024-09-18,-0.10497800345004271,-0.1850421485653686,0.08006414511532589,0.8706240487062404,0.1293759512937595,89,17.8,1313,1314
two_state_daily_elow0.3_cost20bps,False,two_state,daily,0.3,20.0,0.3595346527887673,0.06072103471711854,0.2018845807137421,0.30077103710667547,-0.3838175424524827,0.1582028646453436,0.25162190457765377,0.10791274821111352,0.03769672254876143,2021-11-26,2024-08-27,-0.1961316215261365,-0.1850421485653686,-0.011089472960767899,0.9094368340943684,0.1293759512937595,89,12.46,1313,1314
two_state_daily_elow0.5_cost20bps,False,two_state,daily,0.5,20.0,0.4797085132831256,0.0781058005337385,0.20660637858863112,0.37804157387247483,-0.39554540930996807,0.19746354955805115,0.25162190457765377,0.22808660870547182,0.12990907953187575,2021-11-26,2024-02-07,-0.25235715921158175,-0.1850421485653686,-0.06731501064621315,0.9353120243531202,0.1293759512937595,89,8.9,1313,1314
two_state_daily_elow0.7_cost20bps,False,two_state,daily,0.7,20.0,0.6063101396445307,0.09522713634882596,0.2135643942174258,0.4458942545070366,-0.41241708053471315,0.23090007869063195,0.25162190457765377,0.35468823506687697,0.22439814284170917,2021-11-26,2024-02-07,-0.30516268701275673,-0.1850421485653686,-0.12012053844738813,0.9611872146118722,0.1293759512937595,89,5.34,1313,1314
hysteresis_biweekly_elow0_cost40bps,False,hysteresis,biweekly,0.0,40.0,0.08075797997899326,0.015017187985701286,0.1648355474160252,0.09110406232825313,-0.23169011650626092,0.06481583337326122,0.25162190457765377,-0.1708639245986605,-0.20375817944945687,2023-06-16,2024-01-19,-0.12936972250431178,-0.1850421485653686,0.05567242606105682,0.5616438356164384,0.4383561643835616,16,6.4,1313,1314
