sec_code,index_name,rolling_window,start_date,end_date,return_period_count,compound_annualized_return,max_drawdown,calmar_ratio,sharpe_ratio
399006.SZ,创业板指,756_return_periods,2021-08-16,2024-09-27,756,-0.17032307595240337,-0.5634268477509428,-0.3022984734083758,-0.7011420752993428
399006.SZ,创业板指,756_return_periods,2021-08-17,2024-09-30,756,-0.12295818229348376,-0.5634268477509428,-0.21823273559700196,-0.475872942174731
399006.SZ,创业板指,756_return_periods,2021-08-18,2024-10-08,756,-0.0774842750911976,-0.5634268477509428,-0.13752322133830716,-0.27976872525536844
399006.SZ,创业板指,756_return_periods,2021-08-19,2024-10-09,756,-0.11400285209096161,-0.5634268477509428,-0.20233833823509143,-0.4020457274360354
399006.SZ,创业板指,756_return_periods,2021-08-20,2024-10-10,756,-0.1150350992194149,-0.5634268477509428,-0.20417042545737016,-0.4055290459509814
399006.SZ,创业板指,756_return_periods,2021-08-23,2024-10-11,756,-0.1392004498379502,-0.5634268477509428,-0.24706037774664652,-0.4891964913054991
399006.SZ,创业板指,756_return_periods,2021-08-24,2024-10-14,756,-0.1350263803291304,-0.5634268477509428,-0.23965201670477987,-0.4739791732157642
399006.SZ,创业板指,756_return_periods,2021-08-25,2024-10-15,756,-0.14595642723221292,-0.5634268477509428,-0.25905124651910716,-0.5113230729882198
399006.SZ,创业板指,756_return_periods,2021-08-26,2024-10-16,756,-0.1450583276492856,-0.5634268477509428,-0.2574572515106827,-0.5083251794027132
399006.SZ,创业板指,756_return_periods,2021-08-27,2024-10-17,756,-0.14531806484225362,-0.5634268477509428,-0.2579182469247366,-0.5092311018520252
399006.SZ,创业板指,756_return_periods,2021-08-30,2024-10-18,756,-0.1245679310896135,-0.5634268477509428,-0.2210898035598714,-0.43093807511191035
399006.SZ,创业板指,756_return_periods,2021-08-31,2024-10-21,756,-0.11732904305547576,-0.5634268477509428,-0.20824183924465717,-0.4060945868581666
399006.SZ,创业板指,756_return_periods,2021-09-01,2024-10-22,756,-0.11393135904537166,-0.5634268477509429,-0.202211448567204,-0.3943783540013621
399006.SZ,创业板指,756_return_periods,2021-09-02,2024-10-23,756,-0.11100085098882195,-0.5634268477509428,-0.1970102266725649,-0.384382953368138
399006.SZ,创业板指,756_return_periods,2021-09-03,2024-10-24,756,-0.11160645002086411,-0.5634268477509428,-0.19808507611301943,-0.3864414194273622
399006.SZ,创业板指,756_return_periods,2021-09-06,2024-10-25,756,-0.11482407807081696,-0.5634268477509428,-0.20379589387542604,-0.3982164614258592
399006.SZ,创业板指,756_return_periods,2021-09-07,2024-10-28,756,-0.11824006144753085,-0.5634268477509428,-0.20985876324409322,-0.4100971559115685
399006.SZ,创业板指,756_return_periods,2021-09-08,2024-10-29,756,-0.12227813842955704,-0.5634268477509428,-0.21702575750101435,-0.42373122406266717
399006.SZ,创业板指,756_return_periods,2021-09-09,2024-10-30,756,-0.12593797603572188,-0.5634268477509428,-0.22352143235352445,-0.4362992905631078
399006.SZ,创业板指,756_return_periods,2021-09-10,2024-10-31,756,-0.12509869299709042,-0.5634268477509428,-0.22203182808283403,-0.4333668633779243
399006.SZ,创业板指,756_return_periods,2021-09-13,2024-11-01,756,-0.12721036672178065,-0.5634268477509428,-0.22577973916147626,-0.4404948372783842
399006.SZ,创业板指,756_return_periods,2021-09-14,2024-11-04,756,-0.12261872322089495,-0.5634268477509428,-0.21763024554182647,-0.4240053302679352
399006.SZ,创业板指,756_return_periods,2021-09-15,2024-11-05,756,-0.10559610980888667,-0.5634268477509428,-0.18741760395408844,-0.36357172391585335
399006.SZ,创业板指,756_return_periods,2021-09-16,2024-11-06,756,-0.10198983277605433,-0.5634268477509428,-0.18101699126190368,-0.35142189642769384
399006.SZ,创业板指,756_return_periods,2021-09-17,2024-11-07,756,-0.09706195493723169,-0.5634268477509429,-0.17227073101801663,-0.3337883086265221
399006.SZ,创业板指,756_return_periods,2021-09-22,2024-11-08,756,-0.09808044269452165,-0.5634268477509429,-0.17407839737498118,-0.33724402896843086
399006.SZ,创业板指,756_return_periods,2021-09-23,2024-11-11,756,-0.09073057833902543,-0.5634268477509428,-0.1610334663695898,-0.31141327399581925
399006.SZ,创业板指,756_return_periods,2021-09-24,2024-11-12,756,-0.09333931483578561,-0.5634268477509428,-0.1656635909495128,-0.320409261828036
399006.SZ,创业板指,756_return_periods,2021-09-27,2024-11-13,756,-0.09224445599697495,-0.5634268477509428,-0.163720377126492,-0.3166078694398515
399006.SZ,创业板指,756_return_periods,2021-09-28,2024-11-14,756,-0.10079334368795079,-0.5634268477509428,-0.17889339865555268,-0.34519961446616476
399006.SZ,创业板指,756_return_periods,2021-09-29,2024-11-15,756,-0.1093065549990464,-0.5634268477509428,-0.19400309984405337,-0.37334336849899197
399006.SZ,创业板指,756_return_periods,2021-09-30,2024-11-18,756,-0.12268593764639069,-0.5634268477509428,-0.21774954128672047,-0.4190066170755499
399006.SZ,创业板指,756_return_periods,2021-10-08,2024-11-19,756,-0.11387715441589896,-0.5634268477509429,-0.20211524330171288,-0.3882289518282806
399006.SZ,创业板指,756_return_periods,2021-10-11,2024-11-20,756,-0.10807649073200465,-0.5634268477509428,-0.19181991622056815,-0.3685775229389538
399006.SZ,创业板指,756_return_periods,2021-10-12,2024-11-21,756,-0.10288463187182761,-0.5634268477509428,-0.18260512838981138,-0.35108841175181354
399006.SZ,创业板指,756_return_periods,2021-10-13,2024-11-22,756,-0.12162032670911604,-0.5634268477509428,-0.21585823819825692,-0.41419892278603954
399006.SZ,创业板指,756_return_periods,2021-10-14,2024-11-25,756,-0.12218053514891603,-0.5634268477509428,-0.21685252599628466,-0.4161102900780742
399006.SZ,创业板指,756_return_periods,2021-10-15,2024-11-26,756,-0.13099182860523328,-0.5634268477509428,-0.23249127926388222,-0.44633013258640714
399006.SZ,创业板指,756_return_periods,2021-10-18,2024-11-27,756,-0.12317113061248053,-0.5634268477509428,-0.21861068762368793,-0.4190617232104941
399006.SZ,创业板指,756_return_periods,2021-10-19,2024-11-28,756,-0.13019702573633118,-0.5634268477509428,-0.23108062076921737,-0.442749123309529
399006.SZ,创业板指,756_return_periods,2021-10-20,2024-11-29,756,-0.12193241086116213,-0.5634268477509428,-0.21641214178537183,-0.4141400869870597
399006.SZ,创业板指,756_return_periods,2021-10-21,2024-12-02,756,-0.11730195092406848,-0.5634268477509428,-0.20819375468582682,-0.3982531645169426
399006.SZ,创业板指,756_return_periods,2021-10-22,2024-12-03,756,-0.11909365960058671,-0.5634268477509428,-0.21137377474285868,-0.4043261887359643
399006.SZ,创业板指,756_return_periods,2021-10-25,2024-12-04,756,-0.1280374533239983,-0.5634268477509428,-0.22724769654675026,-0.4347615967616739
399006.SZ,创业板指,756_return_periods,2021-10-26,2024-12-05,756,-0.12601301201736737,-0.5634268477509429,-0.2236546102131614,-0.4278813782249877
399006.SZ,创业板指,756_return_periods,2021-10-27,2024-12-06,756,-0.11842890034050613,-0.5634268477509428,-0.21019392457644553,-0.4018135174051273
399006.SZ,创业板指,756_return_periods,2021-10-28,2024-12-09,756,-0.11809798203501276,-0.5634268477509428,-0.20960659312993335,-0.40070512086357707
399006.SZ,创业板指,756_return_periods,2021-10-29,2024-12-10,756,-0.12249069145529368,-0.5634268477509428,-0.21740300794015316,-0.4159691218090775
399006.SZ,创业板指,756_return_periods,2021-11-01,2024-12-11,756,-0.12116737754336881,-0.5634268477509428,-0.21505431987672985,-0.4114966280234792
399006.SZ,创业板指,756_return_periods,2021-11-02,2024-12-12,756,-0.11790367096026844,-0.5634268477509428,-0.2092617194777104,-0.4002703508298759
399006.SZ,创业板指,756_return_periods,2021-11-03,2024-12-13,756,-0.12416706802193944,-0.5634268477509429,-0.22037833042138993,-0.42105844361497974
399006.SZ,创业板指,756_return_periods,2021-11-04,2024-12-16,756,-0.1316427706322435,-0.5634268477509428,-0.23364660586858452,-0.44632616849543916
